2025-01-29 23:46:20,987 - INFO - Starting net generation
2025-01-29 23:46:20,987 - INFO - Starting geometry calculation
2025-01-29 23:46:20,987 - INFO - Output path: ./elipticalprism_net_export.pdf
2025-01-29 23:46:20,990 - DEBUG - Perimeter calculated: 53.69760360191275
2025-01-29 23:46:20,991 - INFO - Creating plot
2025-01-29 23:46:20,992 - DEBUG - Loaded backend agg version v2.2.
2025-01-29 23:46:20,995 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-01-29 23:46:20,995 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-01-29 23:46:20,995 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:20,995 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:20,995 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,996 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,997 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-01-29 23:46:20,998 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-01-29 23:46:20,999 - DEBUG - findfont: score(FontEntry(fname='/opt/conda/envs/ocp/lib/python3.8/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
